digit2,desc2,digit3,desc3,digit4,desc
49,"Electric, Gas and Sanitary Services",492,Gas Production and Distribution,2262,"    Finishing Plants, Synthetics"
49,"Electric, Gas and Sanitary Services",493,"Combination Electric and Gas, and otherUtility",2269,"    Finishing Plants, nec"
49,"Electric, Gas and Sanitary Services",494,Water Supply,2270,    Floor Covering Mills
49,"Electric, Gas and Sanitary Services",495,Sanitary Services,2271,    Woven Carpets And Rugs
49,"Electric, Gas and Sanitary Services",496,Steam and Air-Conditioning Supply,2272,    Tufted Carpets And Rugs
49,"Electric, Gas and Sanitary Services",497,Irrigation Systems,2279,"    Carpets And Rugs, nec"
50,Wholesale Trade-Durable Goods,501,Motor Vehicles and Motor Vehicle Partsand Supplies,2280,    Yarn And Thread Mills
50,Wholesale Trade-Durable Goods,502,Furniture and Home Furnishings,2281,"    Yarn Mills, Except Wool"
50,Wholesale Trade-Durable Goods,503,Lumber and other Construction Materials,2282,    Throwing And Winding Mills
50,Wholesale Trade-Durable Goods,504,Professional and Commercial Equipmentand Supplies,2283,    Wool Yarn Mills
50,Wholesale Trade-Durable Goods,505,"Metals and Minerals, except Petroleum",2284,    Thread Mills
50,Wholesale Trade-Durable Goods,506,Electrical Goods,2290,    Miscellaneous Textile Goods
50,Wholesale Trade-Durable Goods,507,"Hardware, and Plumbing and HeatingEquipment",2291,"    Felt Goods, Exc. Woven Felts & Hats"
50,Wholesale Trade-Durable Goods,508,"Machinery, Equipment, and Supplies",2292,    Lace Goods
50,Wholesale Trade-Durable Goods,509,Miscellaneous Durable Goods,2293,    Paddings And Upholstery Filling
51,Wholesale Trade-Nondurable,511,Paper and Paper Products,2294,    Processed Textile Waste
51,Wholesale Trade-Nondurable,512,"Drugs, Drug Proprietaries, and Druggists'Sundries",2295,"    Coated Fabrics, Not Rubberized"
51,Wholesale Trade-Nondurable,513,"Apparel, Piece Goods, and Notions",2296,    Tire Cord And Fabric
51,Wholesale Trade-Nondurable,514,Groceries and Related Products,2297,    Nonwoven Fabrics
51,Wholesale Trade-Nondurable,515,Farm-Product Raw Materials,2298,    Cordage And Twine
51,Wholesale Trade-Nondurable,516,Chemicals and Allied Products,2299,"    Textile Goods, nec"
51,Wholesale Trade-Nondurable,517,Petroleum and Petroleum Products,2300,    Apparel And Other Textile Products
51,Wholesale Trade-Nondurable,518,"Beer, Wine, and Distilled AlcoholicBeverages",2310,Men's And Boys' Suits And Coats
51,Wholesale Trade-Nondurable,519,Miscellaneous Non-Durable Goods,2320,    Men's And Boys' Furnishings
52,"Building Materials, Hardware, Garden Supply,",521,Lumber and other Building MaterialsDealers,2321,    Men's And Boys' Shirts And Nightwear
52,"Building Materials, Hardware, Garden Supply,",523,"Paint, Glass, and Wallpaper Stores",2322,    Men's And Boys' Underwear
52,"Building Materials, Hardware, Garden Supply,",525,Hardware Stores,2323,    Men's And Boys' Neckwear
52,"Building Materials, Hardware, Garden Supply,",526,"Retail Nurseries, Lawn and Garden SupplyStores",2327,    Men's And Boys' Separate Trousers
52,"Building Materials, Hardware, Garden Supply,",527,Mobile Home Dealers,2328,    Men's And Boys' Work Clothing
53,General Merchandise Stores,531,Department Stores,2329,"    Men's And Boys' Clothing, nec"
53,General Merchandise Stores,533,Variety Stores,2330,    Women's And Misses' Outerwear
53,General Merchandise Stores,539,Miscellaneous General Merchandise Stores,2331,    Women's & Misses' Blouses & Waists
54,Food Stores,541,Grocery Stores,2335,Women's And Misses' Dresses
54,Food Stores,542,"Meat and Fish (Seafood) Markets, including Freezer Provisioners",2337,Women's And Misses' Suits And Coats
54,Food Stores,543,Fruit Stores and Vegetable Markets,2339,"    Women's And Misses' Outerwear, nec"
54,Food Stores,544,"Candy, Nut, and Confectionery Stores",2340,    Women's And Children's Undergarments
54,Food Stores,545,Dairy Products Stores,2341,    Women's And Children's Underwear
54,Food Stores,546,Retail Bakeries,2342,    Brassieres And Allied Garments
54,Food Stores,549,Miscellaneous Food Stores,2350,"Hats, Caps, And Millinery"
55,Automotive Dealers and Gasoline Service Stati,551,Motor Vehicle Dealers (New and Used),2351,Millinery
55,Automotive Dealers and Gasoline Service Stati,552,Motor Vehicle Dealers (Used Only),2352,"Hats And Caps, Except Millinery"
55,Automotive Dealers and Gasoline Service Stati,553,Auto and Home Supply Stores,2360,    Children's Outerwear
55,Automotive Dealers and Gasoline Service Stati,554,Gasoline Service Stations,2361,    Children's Dresses And Blouses
55,Automotive Dealers and Gasoline Service Stati,555,Boat Dealers,2363,Children's Coats And Suits
55,Automotive Dealers and Gasoline Service Stati,556,Recreation Vehicle Dealers,2369,"    Children's Outerwear, nec"
55,Automotive Dealers and Gasoline Service Stati,557,Motorcycle Dealers,2370,    Fur Goods
55,Automotive Dealers and Gasoline Service Stati,559,"Automotive Dealers, Not ElsewhereClassified",2380,    Miscellaneous Apparel And Accessories
60,Depository Institutions,601,Central Reserve Depository Institutions,2381,    Fabric Dress And Work Gloves
60,Depository Institutions,602,Commercial Banks,2384,    Robes And Dressing Gowns
60,Depository Institutions,603,Savings Institutions,2385,    Waterproof Outergarments
60,Depository Institutions,606,Credit Unions,2386,    Leather And Sheep Lined Clothing
60,Depository Institutions,608,Foreign Banking and Branches andAgencies of Foreign Banks,2387,    Apparel Belts
60,Depository Institutions,609,Functions Related to Depository Banking,2389,"    Apparel And Accessories, nec"
61,Non-Depository Credit Institutions,611,Federal and Federally-Sponsored CreditAgencies,2390,    Misc. Fabricated Textile Products
61,Non-Depository Credit Institutions,614,Personal Credit Institutions,2391,    Curtains And Draperies
61,Non-Depository Credit Institutions,615,Business Credit Institutions,2392,"    House Furnishings, nec"
61,Non-Depository Credit Institutions,616,Mortgage Bankers and Brokers,2393,    Textile Bags
62,"Security and Commodity Brokers, Dealers, Exch",621,"Security Brokers, Dealers, and Flotation",2394,    Canvas And Related Products
62,"Security and Commodity Brokers, Dealers, Exch",622,Commodity Contracts Brokers and Dealers,2395,    Pleating And Stitching
62,"Security and Commodity Brokers, Dealers, Exch",623,Security and Commodity Exchanges,2396,    Automotive And Apparel Trimmings
62,"Security and Commodity Brokers, Dealers, Exch",628,Services Allied with the Exchange ofSecurities,2397,    Schiffli Machine Embroideries
63,Insurance Carriers,631,Life Insurance,2399,"    Fabricated Textile Products, nec"
63,Insurance Carriers,632,Accident and Health Insurance and Medical,2400,    Lumber And Wood Products
63,Insurance Carriers,633,"Fire, Marine, and Casualty Insurance",2410,Logging Camps & Logging Contractors
63,Insurance Carriers,635,Surety Insurance,2420,    Sawmills And Planing Mills
63,Insurance Carriers,636,Title Insurance,2421,"    Sawmills And Planing Mills, General"
